CHARACTER,WEIGHT,INC%/FRAME,5f,6f,7f,8f,9f,10f,11f,12f,13f,fall speed,fsmash %true,Ck ftilt % true,,,,
Greninja,88,15.9%,2.3%,18.2%,34.1%,50.0%,65.9%,81.9%,97.8%,113.7%,129.6%,1.85,,,,,,
Isabelle,88,15.9%,2.3%,18.2%,34.1%,50.0%,65.9%,81.9%,97.8%,113.7%,129.6%,1.3,,,,,,
Young Link,88,15.9%,2.3%,18.2%,34.1%,50.0%,65.9%,81.9%,97.8%,113.7%,129.6%,1.8,,,,,,
Little Mac,87,15.8%,2.2%,18.0%,33.8%,49.7%,65.5%,81.3%,97.2%,113.0%,128.8%,1.95,,,,,,
Duck Hunt,86,15.7%,2.1%,17.8%,33.6%,49.3%,65.1%,80.8%,96.6%,112.3%,128.1%,1.65,,,,,,
Sonic,86,15.7%,2.1%,17.8%,33.6%,49.3%,65.1%,80.8%,96.6%,112.3%,128.1%,1.65,,,,,,
Sora,85,15.7%,2.0%,17.7%,33.3%,49.0%,64.6%,80.3%,96.0%,111.6%,127.3%,1.44,,-= needs testing =-,,,,
Zelda,85,15.7%,2.0%,17.7%,33.3%,49.0%,64.6%,80.3%,96.0%,111.6%,127.3%,1.35,,,,,,
Falco,82,15.4%,1.7%,17.1%,32.5%,47.9%,63.3%,78.7%,94.1%,109.5%,125.0%,1.8,76-109,37-60,,,,
Rosalina,82,15.4%,1.7%,17.1%,32.5%,47.9%,63.3%,78.7%,94.1%,109.5%,125.0%,1.2,,,,,,
Bayonetta,81,15.3%,1.7%,17.0%,32.3%,47.6%,62.9%,78.2%,93.5%,108.9%,124.2%,1.77,66-83,27-48,,,,
Meta Knight,80,15.2%,1.6%,16.8%,32.0%,47.3%,62.5%,77.7%,92.9%,108.2%,123.4%,1.66,,,,,,
Zero Suit Samus,80,15.2%,1.6%,16.8%,32.0%,47.3%,62.5%,77.7%,92.9%,108.2%,123.4%,1.7,61-78,24-33,,,,
Kirby,79,15.1%,1.5%,16.6%,31.8%,46.9%,62.0%,77.2%,92.3%,107.5%,122.6%,1.23,,,,,,
Mewtwo,79,15.1%,1.5%,16.6%,31.8%,46.9%,62.0%,77.2%,92.3%,107.5%,122.6%,1.55,,,,,,
Olimar,79,15.1%,1.5%,16.6%,31.8%,46.9%,62.0%,77.2%,92.3%,107.5%,122.6%,1.35,,,,,,
Pikachu,79,15.1%,1.5%,16.6%,31.8%,46.9%,62.0%,77.2%,92.3%,107.5%,122.6%,1.55,,,,,,
Sephiroth,79,15.1%,1.5%,16.6%,31.8%,46.9%,62.0%,77.2%,92.3%,107.5%,122.6%,1.84,,-= needs testing =-,,,,
Sheik,78,15.1%,1.4%,16.4%,31.5%,46.6%,61.6%,76.7%,91.7%,106.8%,121.8%,1.75,,,,,,
Fox,77,15.0%,1.3%,16.3%,31.2%,46.2%,61.2%,76.1%,91.1%,106.1%,121.1%,2.1,,,,,,
Mr. Game & Watch,75,14.8%,1.1%,15.9%,30.7%,45.5%,60.3%,75.1%,89.9%,104.7%,119.5%,1.24,,,,,,
Squirtle,75,14.8%,1.1%,15.9%,30.7%,45.5%,60.3%,75.1%,89.9%,104.7%,119.5%,1.35,,,,,,
Jigglypuff,68,14.2%,0.5%,14.7%,28.9%,43.1%,57.3%,71.5%,85.7%,99.9%,114.0%,0.98,,,,,,
Pichu,62,13.7%,0.0%,13.7%,27.3%,41.0%,54.7%,68.4%,82.0%,95.7%,109.4%,1.9,,,,,,
